iAH991	iJO1366
PMDPHT	PMDPHT
GTPDPDP	GTPDPDP
DHNPA	DHNPA2r
GUAPRT	GUAPRT
METALA1c	AMPTASEPG
PFK(ppi)	PFK
SEPHCHS	SEPHCHCS
XTSNH	XTSNH
DDPA	DDPA
P5CD	P5CD
TMDK1	TMDK1
METSOXR1	METSOXR1
G5SADs	G5SADs
PGCDr	PGCD
DMQMT	DMQMT
E4PD	E4PD
PPNCL2	PPNCL2
NTPP9	NTPP9
AMMQT8_2	AMMQLT8
UAMAGS	UAMAGS
DHNAOT4	DHNAOT4
NTPP1	NTPP1
TDPGDH	TDPGDH
FCLPA	FCLPA
SERATi	SERAT
4HTHRS	4HTHRS
3HAD100	3HAD100
SPMDabc	SPMDabcpp
IG3PS	IG3PS
ADNUC	ADNUC
ADSL2r	ADSL2r
UAG2E	UAG2E
GMHEPK	GMHEPK
PSSA181	PSSA181
PSSA180	PSSA180
UAGPT3	UAGPT3
ASPTA	ASPTA
GART	GART
LEUTA	LEUTAi
EAR160x	EAR160x
EAR121x	EAR121x
GLUABUTt7	GLUABUTt7pp
ALAALADe	ALAALAD
IPDPS	IPDPS
NNATr	NNATr
TMPPP	TMPPP
EAR141x	EAR141x
GTPCI	GTPCI
MLTG1	MLTG1
TYRTA	TYRTA
ASPK	ASPK
ASPT	ASPT
INSH	INSH
FCLK	FCLK
RBFSa	RBFSa
URIDK1	UMPK
IPPMIa	IPPMIa
FCI	FCI
HEMEti	PHEMEabcpp
CBPS	CBPS
MOHMT	MOHMT
FERO	FEROpp
DHAD1	DHAD1
DHAD2	DHAD2
ADPT	ADPT
PDX5PS	PDX5PS
PHETA1	PHETA1
PTA2	PTA2
MEPCT	MEPCT
3OAS180	3OAS180
3OAS181	3OAS181
CHORM	CHORM
EAR80x	EAR80x
VALTA	VALTA
EAR180x	EAR180x
DHFR	DHFR
DHFS	DHFS
CAT	CAT
ALAt4r	ALAt2pp
FTHFD	FTHFD
AGPAT120	AGPAT120
G1PACT	G1PACT
PPNDH	PPNDH
PGL	PGL
PGM	PGM
PGK	PGK
ADK1	ADK1
HEX7	HEX7
ACOATA	ACOATA
LDH_D	LDH_D2
KDOPP	KDOPP
GMHEPAT	GMHEPAT
PTPAT	PTPATi
FTHFLi	FTHFLi
IGPDH	IGPDH
ATPPRT	ATPPRT
AMMQLT8	AMMQLT8
PPCKr	PPCK
